CowID,Lact,Cow Sold,Herd Sold,Cow Shortloss,Herd Shortloss,Cow Longloss,Herd Longloss,Cow Failure,Herd Failure,Cow Recurred,Herd Recurred,Cow Quality
N07683972,4,80.0,51,74.0,49,74.0,51,53.0,48,64.0,47,4
N07683972,4,82.0,51,74.0,49,83.0,51,60.0,48,66.0,47,4
N07688046,7,60.0,51,55.0,49,57.0,51,71.0,48,50.0,47,3
N07688046,7,71.0,51,63.0,49,61.0,51,40.0,48,52.0,47,4
N07688054,1,19.0,51,17.0,49,20.0,51,23.0,48,8.0,47,1
N07690900,3,37.0,51,35.0,49,29.0,51,34.0,48,45.0,47,2
N07690902,5,59.0,51,50.0,49,50.0,51,49.0,48,45.0,47,3
N07690902,6,36.0,51,46.0,49,46.0,51,63.0,48,52.0,47,3
N07690902,6,32.0,51,40.0,49,54.0,51,40.0,48,34.0,47,3
N07690907,2,41.0,51,47.0,49,45.0,51,31.0,48,39.0,47,2
N07693134,6,25.0,51,35.0,49,42.0,51,42.0,48,44.0,47,2
N07695742,5,60.0,51,52.0,49,44.0,51,62.0,48,56.0,47,3
N07695742,5,60.0,51,52.0,49,44.0,51,63.0,48,61.0,47,3
N07695742,5,75.0,51,62.0,49,59.0,51,60.0,48,56.0,47,4
N07695747,6,66.0,51,46.0,49,59.0,51,35.0,48,49.0,47,3
N07695747,6,73.0,51,62.0,49,66.0,51,37.0,48,57.0,47,4
N07698662,4,15.0,51,30.0,49,47.0,51,58.0,48,9.0,47,2
N07698662,5,83.0,51,69.0,49,73.0,51,59.0,48,65.0,47,4
N07698663,5,16.0,51,28.0,49,57.0,51,47.0,48,33.0,47,3
N07698663,6,68.0,51,63.0,49,72.0,51,68.0,48,63.0,47,4
N07698663,7,86.0,51,72.0,49,78.0,51,38.0,48,38.0,47,4
N07698664,2,30.0,51,27.0,49,26.0,51,56.0,48,43.0,47,2
N07698664,3,15.0,51,31.0,49,36.0,51,49.0,48,26.0,47,2
N07698664,6,79.0,51,71.0,49,80.0,51,58.0,48,68.0,47,4
N07698666,5,54.0,51,43.0,49,47.0,51,34.0,48,44.0,47,3
N07698667,4,63.0,51,41.0,49,41.0,51,37.0,48,45.0,47,3
N07698667,4,72.0,51,62.0,49,58.0,51,57.0,48,62.0,47,4
N07698667,4,79.0,51,77.0,49,78.0,51,59.0,48,62.0,47,4
N07704552,7,73.0,51,45.0,49,57.0,51,36.0,48,30.0,47,4
N07707306,9,13.0,51,26.0,49,32.0,51,36.0,48,17.0,47,2
N07710780,9,73.0,51,53.0,49,58.0,51,48.0,48,44.0,47,4
N07710831,3,58.0,51,57.0,49,54.0,51,42.0,48,47.0,47,3
N08714503,8,67.0,51,52.0,49,56.0,51,37.0,48,46.0,47,3
N08714504,3,33.0,51,36.0,49,34.0,51,32.0,48,46.0,47,2
N08714509,5,40.0,51,50.0,49,66.0,51,36.0,48,35.0,47,3
N08714509,6,88.0,51,76.0,49,90.0,51,43.0,48,51.0,47,4
N08714509,6,91.0,51,80.0,49,89.0,51,44.0,48,46.0,47,5
N08714510,4,54.0,51,43.0,49,53.0,51,43.0,48,53.0,47,3
N08714510,4,61.0,51,59.0,49,65.0,51,51.0,48,66.0,47,3
N08714510,4,69.0,51,70.0,49,72.0,51,56.0,48,69.0,47,4
