CowID,Lact,Cow Sold,Herd Sold,Cow Shortloss,Herd Shortloss,Cow Longloss,Herd Longloss,Cow Failure,Herd Failure,Cow Recurred,Herd Recurred,Cow Quality
N06652101,4,19.0,56,45.0,55,61.0,60,46.0,49,42.0,53,3
N06652101,5,83.0,56,71.0,55,84.0,60,33.0,49,62.0,53,4
N06652102,9,80.0,56,61.0,55,79.0,60,57.0,49,36.0,53,4
N06652105,4,25.0,56,35.0,55,57.0,60,34.0,49,23.0,53,3
N06652105,4,25.0,56,38.0,55,57.0,60,39.0,49,24.0,53,3
N06652106,7,35.0,56,53.0,55,64.0,60,55.0,49,55.0,53,3
N06652106,7,38.0,56,55.0,55,63.0,60,63.0,49,37.0,53,3
N06655501,4,49.0,56,51.0,55,64.0,60,34.0,49,54.0,53,3
N06655501,4,63.0,56,62.0,55,67.0,60,54.0,49,60.0,53,3
N06655501,4,23.0,56,61.0,55,58.0,60,52.0,49,69.0,53,3
N06655501,4,23.0,56,55.0,55,61.0,60,50.0,49,59.0,53,3
N06655501,4,15.0,56,42.0,55,66.0,60,41.0,49,51.0,53,3
N06655505,4,74.0,56,60.0,55,60.0,60,60.0,49,53.0,53,4
N06658440,4,24.0,56,28.0,55,29.0,60,45.0,49,50.0,53,3
N06658440,5,16.0,56,29.0,55,39.0,60,43.0,49,18.0,53,2
N06658449,4,54.0,56,45.0,55,40.0,60,62.0,49,35.0,53,3
N06658449,6,76.0,56,61.0,55,66.0,60,54.0,49,63.0,53,4
N06658449,6,82.0,56,74.0,55,69.0,60,40.0,49,67.0,53,4
N06658449,6,84.0,56,79.0,55,76.0,60,55.0,49,69.0,53,4
N06658449,6,85.0,56,82.0,55,85.0,60,59.0,49,61.0,53,4
N06658449,6,86.0,56,82.0,55,86.0,60,51.0,49,67.0,53,4
N06658453,5,19.0,56,33.0,55,53.0,60,44.0,49,25.0,53,3
N06658453,5,21.0,56,42.0,55,57.0,60,54.0,49,31.0,53,3
N06663022,3,61.0,56,53.0,55,49.0,60,62.0,49,34.0,53,3
N07680653,4,58.0,56,46.0,55,50.0,60,30.0,49,48.0,53,3
N07684304,4,15.0,56,31.0,55,34.0,60,64.0,49,34.0,53,2
N07684306,4,65.0,56,63.0,55,60.0,60,38.0,49,47.0,53,3
N07684306,4,70.0,56,73.0,55,72.0,60,55.0,49,54.0,53,4
N07684306,4,76.0,56,80.0,55,78.0,60,56.0,49,59.0,53,4
N07684308,5,68.0,56,61.0,55,79.0,60,58.0,49,59.0,53,4
N07684308,5,70.0,56,71.0,55,82.0,60,60.0,49,68.0,53,4
N07687957,7,72.0,56,58.0,55,66.0,60,38.0,49,51.0,53,4
N07687963,4,28.0,56,36.0,55,59.0,60,31.0,49,39.0,53,3
N07687963,4,28.0,56,36.0,55,59.0,60,37.0,49,39.0,53,3
N07687964,4,60.0,56,48.0,55,49.0,60,64.0,49,51.0,53,3
N07687966,4,13.0,56,33.0,55,51.0,60,51.0,49,29.0,53,3
N07687966,6,65.0,56,68.0,55,83.0,60,59.0,49,71.0,53,4
N07687966,6,26.0,56,67.0,55,75.0,60,59.0,49,69.0,53,4
N07687966,7,85.0,56,76.0,55,87.0,60,54.0,49,63.0,53,4
N07687966,7,89.0,56,82.0,55,90.0,60,43.0,49,62.0,53,4
N07687966,7,90.0,56,85.0,55,92.0,60,47.0,49,63.0,53,5
N07687968,4,85.0,56,55.0,55,82.0,60,26.0,49,51.0,53,4
N07687968,4,89.0,56,47.0,55,86.0,60,42.0,49,53.0,53,4
N07687968,4,90.0,56,55.0,55,90.0,60,50.0,49,33.0,53,4
