CowID,Lact,DIM,Cow Sold,Herd Sold,Cow Shortloss,Herd Shortloss,Cow Longloss,Herd Longloss,Cow Failure,Herd Failure,Cow Recurred,Herd Recurred,Cow Quality
N05606107,6,210,24.0,45,53.0,50,71.0,53,68.0,57,35.0,50,4
N05606107,6,215,24.0,45,51.0,50,71.0,53,72.0,57,32.0,50,4
N05606107,6,218,24.0,45,51.0,50,71.0,53,73.0,57,34.0,50,4
N05606108,5,167,68.0,45,55.0,50,59.0,53,69.0,57,61.0,50,3
N05606109,5,72,71.0,45,65.0,50,70.0,53,70.0,57,67.0,50,4
N05606109,5,79,71.0,45,65.0,50,70.0,53,74.0,57,71.0,50,4
N05606109,6,40,85.0,45,77.0,50,89.0,53,67.0,57,75.0,50,4
N05606109,6,65,86.0,45,81.0,50,92.0,53,56.0,57,74.0,50,5
N05606110,4,7,40.0,45,46.0,50,45.0,53,44.0,57,48.0,50,2
N05606111,5,3,56.0,45,57.0,50,52.0,53,56.0,57,57.0,50,3
N05606111,8,358,23.0,45,47.0,50,62.0,53,67.0,57,14.0,50,3
N05606111,9,14,81.0,45,63.0,50,74.0,53,56.0,57,64.0,50,4
N05609354,5,5,75.0,45,69.0,50,73.0,53,66.0,57,69.0,50,4
N05609354,5,109,40.0,45,55.0,50,65.0,53,53.0,57,65.0,50,3
N05609355,5,254,21.0,45,53.0,50,57.0,53,67.0,57,35.0,50,3
N05609356,4,14,52.0,45,49.0,50,57.0,53,36.0,57,49.0,50,3
N05609356,4,37,59.0,45,62.0,50,72.0,53,31.0,57,56.0,50,4
N05609356,4,41,59.0,45,67.0,50,73.0,53,43.0,57,58.0,50,4
N05609358,4,7,59.0,45,60.0,50,61.0,53,55.0,57,56.0,50,3
N05609358,4,13,62.0,45,61.0,50,61.0,53,68.0,57,62.0,50,3
N05609358,4,21,62.0,45,61.0,50,61.0,53,65.0,57,62.0,50,3
N05609360,4,279,14.0,45,34.0,50,43.0,53,64.0,57,11.0,50,2
